,TCGA.3C.AAAU.01,TCGA.3C.AALI.01,TCGA.A1.A0SB.01
mrna_RPRD1A,2.1929462171809364,-1.6445989015722138,0.05541676220549523
mrna_CYB5R2,-0.9620233091611173,-0.21133659118403253,0.14360114369236507
mrna_MAPKAP1,1.5189179942938096,1.2567310487100725,-0.3138973317450975
mrna_PHC3,1.571008678944477,0.8913830369415963,0.7618395097278503
mrna_RXFP1,-0.6465755150411754,0.31931738744383986,-0.12051350529746228
mrna_SRP9,-1.1389373513310592,-0.5753143988294694,-1.3195632834473814
mrna_LY86.AS1,-0.9346041338604018,-0.6519855964372244,0.14632347678786142
mrna_TCTN3,-0.3097098999105688,-2.133560431617547,0.9004736875560879
mrna_SPRY4.IT1,0.45255184741096127,1.165052378567925,0.9073301449436286
mrna_LST1,-1.3944469790673606,0.31937301201498347,-1.6287789404847417
mrna_FOXI1,1.8887386466987386,-0.8968901993599936,0.40698075417233254
mrna_ZNF831,-0.8874767928159217,0.03667574982509974,-0.7174035825877785
mrna_GRIA2,0.007892907623282482,-0.5049830364500727,-0.30670425824665337
mrna_C16orf54,-0.9556632648574563,0.5554372666047601,-1.2379314790165867
mrna_METTL18,-0.8752403155357928,0.21859610417743866,-0.8150913342231713
mrna_NAIP,1.5068284150746032,0.09314417659662501,-1.4675093651676583
mrna_SNX16,-0.2940430338279299,0.07806333906894163,1.1854513479028397
mrna_MTSS1L,1.508083073087898,0.8727299182920639,0.914190379402147
mrna_C22orf34,-0.8522562466413413,-0.4760621157124222,-1.3077614620384779
mrna_HR,-0.27412624852541495,-0.9308795000375847,1.5298351883477037
mrna_IGDCC3,-0.7391637420756362,0.9869806208403744,-0.6295995877267122
mrna_NBPF3,2.22475006281619,0.5907059529477116,1.6296047768073436
mrna_FAM198A,1.5990989566982499,-1.4825398719693175,1.9644003511132697
mrna_NYAP1,-0.1989460980450992,-0.17833245372476603,0.8566006798317971
mrna_GPT,2.47354672141803,-0.13552801108192408,1.0428600712234473
mrna_MNX1,-0.36464996767133195,1.9710665270339989,-0.4726559093725097
mrna_MDK,0.6118399487549868,0.940427798546495,0.9106934082151475
